Question,Correct Answer
"What is a necessary set of skills and knowledge for a data scientist?","Statistics and probability"
"What is a characteristic function that data scientists do?","Build machine learning or deep learning models to help make business decisions."
"What percentage of global companies are using data analytics in making business decisions?","About 78%"
"In what field(s) do data scientists commonly work?","Many different fields"
"What is a good source of portfolio content?","Freelance work"
"What is a good way to decide which skills to highlight in your portfolio?","Reading job listings"
"If you decide to build a new project to include in your portfolio, what is good advice?","Use GitHub to host your projects."
"Should you include hobbies and interests on your resume?","Only if you have limited experience or skills relevant to the job."
"What is usually the largest part of your resume?","Work experience"
"Why should you pay attention to the language used on a company website?","Repeated keywords can give you an idea of what is important to the company."
"Why should you check social media to find out about a company you want to join?","You can understand the company’s image and corporate culture from what they post."
"Which three of the following are effective networking methods?","Talk to friends about your job search; Take classes to brush up on your professional skills; Join professional groups and attend events."
"What percentage of recruiters use LinkedIn as part of their candidate search?","Almost 90%"
"Which of the following is true about working as a contractor and full-time employee (FTE)?","Both contractors and FTEs usually work full-time hours."
"What is a red flag that might indicate thinking twice about responding to a job listing?","Broad expectations about the position with few specifics"
"Which two statements are true about qualifications in job listings?","The qualifications may include both hard and soft skills; You don’t need to have all the qualifications listed."
"What is true about rehearsing for interviews?","It’s important to practice articulating what you want to say."
"What is a mock interview?","A practice interview that enables you to rehearse your answers at home."
"What is true about the overall interview process?","Interview processes can vary depending on factors like the type of position and size of company."
"Why would you be asked to sign a non-disclosure agreement (NDA) before a code challenge?","The company does not want you to share the problem with other potential candidates."
"What is true about coding challenges?","In them, you work on your own time at home and then submit your work for review."
"What are good things to review after first-round interviews to prepare for second-round screens?","What went well and what caught the interest of your interviewers; The names and positions of any interviewers you have met; Whether there was a question that you weren’t prepared for"
"What might you expect in a human resources (HR) screen?","A brief orientation about the company and its products or services"
"What is a good way to prepare before a final interview?","Test your equipment if the interview is virtual."
"What is true about asking interviewers questions during an interview?","It’s a chance to show how serious you are about the job and how well you prepared."
"In the United States, what is illegal to ask in a job interview?","Marital status; Race or nationality; Gender and sexual orientation"
"What is culture fit?","How well a candidate fits in with the company’s existing culture"